Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1961","1961","t","215646627","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1962","1962","t","226456291","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1963","1963","t","247119204","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1964","1964","t","262928949","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1965","1965","t","254059657","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1966","1966","t","261181246","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1967","1967","t","277386339","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1968","1968","t","288624275","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1969","1969","t","295584346","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1970","1970","t","316345651","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1971","1971","t","317712363","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1972","1972","t","307289867","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1973","1973","t","334928765","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1974","1974","t","331970539","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1975","1975","t","356963012","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1976","1976","t","347686382","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1977","1977","t","369481070","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1978","1978","t","385208660","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1979","1979","t","375251671","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1980","1980","t","396871220","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1981","1981","t","410075138","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1982","1982","t","421948954","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1983","1983","t","448016205","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1984","1984","t","465342803","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1985","1985","t","468164482","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1986","1986","t","468675152","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1987","1987","t","461439818","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1988","1988","t","487457812","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1989","1989","t","514421550","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1990","1990","t","518570206.92","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1991","1991","t","518069963","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1992","1992","t","529006037.86","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1993","1993","t","529256939.11","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1994","1994","t","539532737.16","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1995","1995","t","547558620.94","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1996","1996","t","568848366.98","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1997","1997","t","577439520.26","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1998","1998","t","579199410.52","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","1999","1999","t","611539627.07","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","2000","2000","t","598935232.17","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","2001","2001","t","600540888.97","A","Official figure",""
"QCL","Crops and livestock products","001","World","5510","Production","0113","Rice","2002","2002","t","571440129.47","A","Official figure",""
