ref_date,geo,year,yearly_avg_value,total,house,land
1981-01-01T00:00:00Z,Canada,1981,39.7944444444445,38.2,36.1,40.6
1981-02-01T00:00:00Z,Canada,1981,39.7944444444445,38.7,36.5,41
1981-03-01T00:00:00Z,Canada,1981,39.7944444444445,39.3,37.3,41.1
1981-04-01T00:00:00Z,Canada,1981,39.7944444444445,39.9,38.1,41.2
1981-05-01T00:00:00Z,Canada,1981,39.7944444444445,40.6,38.9,41.5
1981-06-01T00:00:00Z,Canada,1981,39.7944444444445,40.8,39.1,41.6
1981-07-01T00:00:00Z,Canada,1981,39.7944444444445,40.8,39.2,41.6
1981-08-01T00:00:00Z,Canada,1981,39.7944444444445,40.6,39,41.5
1981-09-01T00:00:00Z,Canada,1981,39.7944444444445,40.4,39,40.9
1981-10-01T00:00:00Z,Canada,1981,39.7944444444445,40.3,38.8,40.9
1981-11-01T00:00:00Z,Canada,1981,39.7944444444445,40.2,38.8,40.4
1981-12-01T00:00:00Z,Canada,1981,39.7944444444445,40.3,38.9,40.5
1982-01-01T00:00:00Z,Canada,1982,38.7277777777778,40.3,39.1,40.5
1982-02-01T00:00:00Z,Canada,1982,38.7277777777778,40.3,38.9,40.6
1982-03-01T00:00:00Z,Canada,1982,38.7277777777778,40.1,38.6,40.7
1982-04-01T00:00:00Z,Canada,1982,38.7277777777778,39.9,38.5,40.6
1982-05-01T00:00:00Z,Canada,1982,38.7277777777778,39.6,38.1,40.1
1982-06-01T00:00:00Z,Canada,1982,38.7277777777778,39.3,38.1,39.5
1982-07-01T00:00:00Z,Canada,1982,38.7277777777778,39,38,38.5
1982-08-01T00:00:00Z,Canada,1982,38.7277777777778,38.8,37.8,38.2
1982-09-01T00:00:00Z,Canada,1982,38.7277777777778,38.4,37.6,37.5
1982-10-01T00:00:00Z,Canada,1982,38.7277777777778,38.3,37.4,37.5
1982-11-01T00:00:00Z,Canada,1982,38.7277777777778,38,37.3,37
1982-12-01T00:00:00Z,Canada,1982,38.7277777777778,37.9,37.2,37
1983-01-01T00:00:00Z,Canada,1983,37.3972222222222,37.9,37.3,36.8
1983-02-01T00:00:00Z,Canada,1983,37.3972222222222,37.9,37.2,36.8
1983-03-01T00:00:00Z,Canada,1983,37.3972222222222,37.8,37.2,37
1983-04-01T00:00:00Z,Canada,1983,37.3972222222222,37.8,37,37.2
1983-05-01T00:00:00Z,Canada,1983,37.3972222222222,37.7,36.9,37.2
1983-06-01T00:00:00Z,Canada,1983,37.3972222222222,37.8,37,37.4
1983-07-01T00:00:00Z,Canada,1983,37.3972222222222,37.8,37,37.4
1983-08-01T00:00:00Z,Canada,1983,37.3972222222222,38,37.2,37.2
1983-09-01T00:00:00Z,Canada,1983,37.3972222222222,38,37.2,37.3
1983-10-01T00:00:00Z,Canada,1983,37.3972222222222,37.9,37.2,37.2
1983-11-01T00:00:00Z,Canada,1983,37.3972222222222,38,37.3,37.4
1983-12-01T00:00:00Z,Canada,1983,37.3972222222222,37.9,37.2,37.2
1984-01-01T00:00:00Z,Canada,1984,37.5527777777778,38,37.2,37.3
1984-02-01T00:00:00Z,Canada,1984,37.5527777777778,38,37.4,37.3
1984-03-01T00:00:00Z,Canada,1984,37.5527777777778,38.1,37.5,37.3
1984-04-01T00:00:00Z,Canada,1984,37.5527777777778,38.2,37.6,37.4
1984-05-01T00:00:00Z,Canada,1984,37.5527777777778,38.2,37.6,37.4
1984-06-01T00:00:00Z,Canada,1984,37.5527777777778,38.1,37.4,37.4
1984-07-01T00:00:00Z,Canada,1984,37.5527777777778,38.1,37.4,37.4
1984-08-01T00:00:00Z,Canada,1984,37.5527777777778,38,37.3,37.4
1984-09-01T00:00:00Z,Canada,1984,37.5527777777778,37.9,37.2,37.3
1984-10-01T00:00:00Z,Canada,1984,37.5527777777778,37.9,37.2,37.2
1984-11-01T00:00:00Z,Canada,1984,37.5527777777778,37.8,37.2,37
1984-12-01T00:00:00Z,Canada,1984,37.5527777777778,37.9,37.3,37
1985-01-01T00:00:00Z,Canada,1985,38.0305555555556,38,37.4,37.1
1985-02-01T00:00:00Z,Canada,1985,38.0305555555556,38,37.4,37.2
1985-03-01T00:00:00Z,Canada,1985,38.0305555555556,38.1,37.5,37.3
1985-04-01T00:00:00Z,Canada,1985,38.0305555555556,38.1,37.5,37.3
1985-05-01T00:00:00Z,Canada,1985,38.0305555555556,38.1,37.4,37.5
1985-06-01T00:00:00Z,Canada,1985,38.0305555555556,38.3,37.6,37.8
1985-07-01T00:00:00Z,Canada,1985,38.0305555555556,38.4,37.7,37.8
1985-08-01T00:00:00Z,Canada,1985,38.0305555555556,38.5,38,38
1985-09-01T00:00:00Z,Canada,1985,38.0305555555556,38.8,38.1,38.2
1985-10-01T00:00:00Z,Canada,1985,38.0305555555556,38.9,38.4,38.2
1985-11-01T00:00:00Z,Canada,1985,38.0305555555556,39.2,38.6,38.3
1985-12-01T00:00:00Z,Canada,1985,38.0305555555556,39.3,38.7,38.4
1986-01-01T00:00:00Z,Canada,1986,41.125,39.8,39.4,38.8
1986-02-01T00:00:00Z,Canada,1986,41.125,40.3,39.9,39.2
1986-03-01T00:00:00Z,Canada,1986,41.125,40.6,40.2,39.3
1986-04-01T00:00:00Z,Canada,1986,41.125,40.8,40.6,39.3
1986-05-01T00:00:00Z,Canada,1986,41.125,41.1,40.9,39.5
1986-06-01T00:00:00Z,Canada,1986,41.125,41.3,41.2,39.7
1986-07-01T00:00:00Z,Canada,1986,41.125,41.6,41.4,39.8
1986-08-01T00:00:00Z,Canada,1986,41.125,42,41.9,40.1
1986-09-01T00:00:00Z,Canada,1986,41.125,42.8,42.9,40.6
1986-10-01T00:00:00Z,Canada,1986,41.125,43.2,43.4,40.6
1986-11-01T00:00:00Z,Canada,1986,41.125,43.8,44.1,41
1986-12-01T00:00:00Z,Canada,1986,41.125,44,44.4,41
1987-01-01T00:00:00Z,Canada,1987,46.5305555555556,44.4,44.8,41.1
1987-02-01T00:00:00Z,Canada,1987,46.5305555555556,45.2,45.9,41.3
1987-03-01T00:00:00Z,Canada,1987,46.5305555555556,46.6,47.3,42.7
1987-04-01T00:00:00Z,Canada,1987,46.5305555555556,47.1,48,43.1
1987-05-01T00:00:00Z,Canada,1987,46.5305555555556,47.5,48.3,43.5
1987-06-01T00:00:00Z,Canada,1987,46.5305555555556,47.7,48.6,43.6
1987-07-01T00:00:00Z,Canada,1987,46.5305555555556,48,48.8,43.9
1987-08-01T00:00:00Z,Canada,1987,46.5305555555556,48.2,49,44.2
1987-09-01T00:00:00Z,Canada,1987,46.5305555555556,48.7,49.2,45.4
1987-10-01T00:00:00Z,Canada,1987,46.5305555555556,48.9,49.3,45.6
1987-11-01T00:00:00Z,Canada,1987,46.5305555555556,49.1,49.5,45.9
1987-12-01T00:00:00Z,Canada,1987,46.5305555555556,49.1,49.5,46.1
1988-01-01T00:00:00Z,Canada,1988,51.7722222222222,49.3,49.7,46.4
1988-02-01T00:00:00Z,Canada,1988,51.7722222222222,49.8,50.1,46.9
1988-03-01T00:00:00Z,Canada,1988,51.7722222222222,50.3,50.6,47.4
1988-04-01T00:00:00Z,Canada,1988,51.7722222222222,51.2,51.5,48.3
1988-05-01T00:00:00Z,Canada,1988,51.7722222222222,51.9,52.1,49.3
1988-06-01T00:00:00Z,Canada,1988,51.7722222222222,52.3,52.4,50.3
1988-07-01T00:00:00Z,Canada,1988,51.7722222222222,52.5,52.5,50.6
1988-08-01T00:00:00Z,Canada,1988,51.7722222222222,53,53,50.9
1988-09-01T00:00:00Z,Canada,1988,51.7722222222222,53.9,53.8,52.3
1988-10-01T00:00:00Z,Canada,1988,51.7722222222222,54.3,54.1,52.8
1988-11-01T00:00:00Z,Canada,1988,51.7722222222222,55,54.4,54.3
1988-12-01T00:00:00Z,Canada,1988,51.7722222222222,55.8,54.6,56.2
1989-01-01T00:00:00Z,Canada,1989,59.9305555555556,56.3,54.7,57.6
1989-02-01T00:00:00Z,Canada,1989,59.9305555555556,57.7,55.6,60.3
1989-03-01T00:00:00Z,Canada,1989,59.9305555555556,58.6,56.1,62.5
1989-04-01T00:00:00Z,Canada,1989,59.9305555555556,59.1,56.4,63.4
1989-05-01T00:00:00Z,Canada,1989,59.9305555555556,59.3,56.5,63.6
1989-06-01T00:00:00Z,Canada,1989,59.9305555555556,59.6,56.9,64
