population_group,measure,location,sex,age,metric,year,val,upper,lower
All Population,Life expectancy,Global,Male,25-29 years,Years,1950,39.77033576785644,40.08267354685513,39.429736688594424
All Population,Life expectancy,Global,Female,25-29 years,Years,1950,43.36706032202195,43.68748310281637,43.04826496844251
All Population,Life expectancy,Global,Both,25-29 years,Years,1950,41.50795233298608,41.732522998871836,41.27825323159051
All Population,Life expectancy,Global,Male,25-29 years,Years,1955,40.95171869851589,41.18214690269174,40.726531262670804
All Population,Life expectancy,Global,Female,25-29 years,Years,1955,44.706802616006065,44.917983720772874,44.505568332547405
All Population,Life expectancy,Global,Both,25-29 years,Years,1955,42.7909205035617,42.95704903092303,42.6227149547169
All Population,Life expectancy,Global,Male,25-29 years,Years,1960,39.816472154999765,40.42691493750129,38.946960532776934
All Population,Life expectancy,Global,Female,25-29 years,Years,1960,43.66123569834975,44.49684216685975,42.33459024294863
All Population,Life expectancy,Global,Both,25-29 years,Years,1960,41.70605339099189,42.391138843843805,40.624638937577195
All Population,Life expectancy,Global,Male,25-29 years,Years,1965,41.96660388750493,42.171767122468,41.744138042395875
All Population,Life expectancy,Global,Female,25-29 years,Years,1965,46.11952457351541,46.33133829966138,45.89635758754198
All Population,Life expectancy,Global,Both,25-29 years,Years,1965,44.02265131264332,44.17791175100811,43.87054845279008
All Population,Life expectancy,Global,Male,25-29 years,Years,1970,42.331057991569004,42.53719735695483,42.12535485311481
All Population,Life expectancy,Global,Female,25-29 years,Years,1970,46.61375542425623,46.82405639028773,46.40833341772525
All Population,Life expectancy,Global,Both,25-29 years,Years,1970,44.448801412375154,44.589690288672415,44.30156181754572
All Population,Life expectancy,Global,Male,25-29 years,Years,1975,42.998500374978484,43.17368454261533,42.78902810752811
All Population,Life expectancy,Global,Female,25-29 years,Years,1975,47.601258937945325,47.80058662484703,47.418879392159525
All Population,Life expectancy,Global,Both,25-29 years,Years,1975,45.26435039698985,45.40147409301071,45.125008641228035
All Population,Life expectancy,Global,Male,25-29 years,Years,1980,43.859310444833355,44.04249725512375,43.681280073204746
All Population,Life expectancy,Global,Female,25-29 years,Years,1980,48.61264624876821,48.801151372443265,48.42191094876809
All Population,Life expectancy,Global,Both,25-29 years,Years,1980,46.19662374812859,46.327165595082285,46.06451612958032
All Population,Life expectancy,Global,Male,25-29 years,Years,1985,44.78600242311962,44.97884347440934,44.59614633194702
All Population,Life expectancy,Global,Female,25-29 years,Years,1985,49.658611354284886,49.83748198445363,49.44731312524269
All Population,Life expectancy,Global,Both,25-29 years,Years,1985,47.17671281713531,47.31521851624594,47.03699254498913
All Population,Life expectancy,Global,Male,25-29 years,Years,1990,45.26985044005065,45.46423877394714,45.06678895228559
All Population,Life expectancy,Global,Female,25-29 years,Years,1990,50.32220609832524,50.4982308521778,50.15160812140358
All Population,Life expectancy,Global,Both,25-29 years,Years,1990,47.73291593562099,47.860914467291025,47.58629853317985
All Population,Life expectancy,Global,Male,25-29 years,Years,1995,45.506745446125315,45.68410034360709,45.311335394058425
All Population,Life expectancy,Global,Female,25-29 years,Years,1995,50.73895629724537,50.90941151576614,50.563345523588524
All Population,Life expectancy,Global,Both,25-29 years,Years,1995,48.044739269723685,48.18413631285408,47.912623923900924
All Population,Life expectancy,Global,Male,25-29 years,Years,2000,46.21912445230307,46.363876643061936,46.068606144276885
All Population,Life expectancy,Global,Female,25-29 years,Years,2000,51.29788031933881,51.42845216642135,51.16012380066296
All Population,Life expectancy,Global,Both,25-29 years,Years,2000,48.691227979920605,48.79525682135352,48.58580005334039
All Population,Life expectancy,Global,Male,25-29 years,Years,2005,47.214064397103925,47.37002994467895,47.05156346807246
All Population,Life expectancy,Global,Female,25-29 years,Years,2005,52.28422842378249,52.424488537601995,52.1434186988372
All Population,Life expectancy,Global,Both,25-29 years,Years,2005,49.68874144371058,49.79642788048192,49.57498840859276
All Population,Life expectancy,Global,Male,25-29 years,Years,2010,48.451011633948006,48.59684002641922,48.31195608802092
All Population,Life expectancy,Global,Female,25-29 years,Years,2010,53.48268862444949,53.60565380446339,53.35485325276812
All Population,Life expectancy,Global,Both,25-29 years,Years,2010,50.91542063135715,51.011900177901914,50.8232925023232
All Population,Life expectancy,Global,Male,25-29 years,Years,2015,49.627587084079956,49.75802121395092,49.50188465114194
